Aika_s_	SuhteellinenKokoonpuristuma___	Maksimileikkausj_nnitys_kPa_	Huokosvedenpaine_kPa_	Sellipaine_mitattu_kPa_	SuhteellinenTilavuudenMuutos___	Voimamittaus_kg_	Siirtym__mm_	Vaaka_g_	Var1
174462.300748	5.297523	5.383595	7.710058	90.940101	0.005606	21.63749	5.820583	1.16	5
176852.300621	5.370103	5.436972	7.772015	90.928721	0.006185	21.855983	5.900314	1.28	5
179242.299968	5.442687	5.473158	7.81586	90.950739	0.006814	22.004143	5.978889	1.41	5
181632.300085	5.514977	5.512781	7.7423	90.909462	0.007442	22.16605	6.056936	1.54	5
184022.400003	5.587558	5.562162	7.768702	90.931043	0.008215	22.364417	6.136848	1.7	5
186472.776072	5.660139	5.612094	7.774871	90.950329	0.008892	22.567332	6.217544	1.84	5
188862.875973	5.732722	5.651615	7.706453	90.961108	0.009327	22.733474	6.296364	1.93	5
191252.876634	5.805304	5.693132	7.630452	90.95068	0.009617	22.911225	6.375901	1.99	5
193642.876269	5.877885	5.745792	7.49312	90.942504	0.010051	23.130656	6.455363	2.08	5
196032.876685	5.950466	5.793743	7.418801	90.994717	0.010438	23.332727	6.536305	2.16	5
198422.876073	6.023047	5.843683	7.43668	90.978192	0.01097	23.538772	6.613683	2.27	5
200812.876752	6.095627	5.894736	7.39442	90.957573	0.011549	23.748683	6.692961	2.39	5
203202.976841	6.168208	5.946141	7.33798	90.952523	0.012226	23.958059	6.773448	2.53	5
205592.97594	6.240791	5.984538	7.274171	90.960558	0.012709	24.119629	6.853562	2.63	5
207982.976295	6.313371	6.041797	7.263229	90.969808	0.013289	24.354363	6.930995	2.75	5
210372.975987	6.385951	6.094199	7.297732	90.992595	0.013966	24.567754	7.010671	2.89	5
212763.076495	6.458534	6.136821	7.255522	90.966129	0.014642	24.74187	7.090845	3.03	5
215153.076044	6.531113	6.194443	7.195844	90.957869	0.015222	24.978717	7.170165	3.15	5
217543.075891	6.603695	6.239523	7.184689	90.962691	0.015754	25.166382	7.249879	3.26	5
219933.076467	6.676276	6.288023	7.171351	90.945977	0.016382	25.365634	7.330223	3.39	5
222323.176496	6.748858	6.334726	7.127929	90.919445	0.017058	25.556171	7.409378	3.53	5
224713.176145	6.821439	6.382994	7.077893	90.939232	0.017687	25.75438	7.488824	3.66	5
227103.276818	6.893728	6.4297	7.083786	90.936206	0.018267	25.947742	7.568842	3.78	5
229493.275887	6.966311	6.469161	7.092338	90.92557	0.018943	26.109347	7.648637	3.92	5
231883.27658	7.038892	6.518953	7.157614	90.925194	0.01962	26.312861	7.729118	4.06	5
234273.275889	7.111474	6.563436	7.507219	90.950583	0.020393	26.492332	7.809273	4.22	5
236663.276783	7.184059	6.593908	7.511496	90.940531	0.020876	26.622733	7.888356	4.32	5
239053.276297	7.256639	6.644399	7.555278	90.915846	0.021359	26.834441	7.968881	4.42	5
241443.376369	7.329222	6.690038	7.619834	90.863041	0.022326	27.012647	8.046058	4.62	5
243833.376196	7.401806	6.720037	7.708517	90.903052	0.023099	27.134038	8.127493	4.78	5
246223.376521	7.474388	6.768824	7.729805	90.923243	0.023775	27.333113	8.20575	4.92	5
248613.476298	7.546971	6.804337	7.774439	90.919654	0.024307	27.482964	8.285227	5.03	5
251003.476575	7.619554	6.84146	7.787346	90.887114	0.024839	27.639503	8.365086	5.14	5
253393.47615	7.692136	6.884929	7.790996	90.925869	0.025419	27.820692	8.446004	5.26	5
255783.4768	7.76472	6.922415	7.774131	90.919088	0.02595	27.979382	8.527774	5.37	5
258173.476554	7.837303	6.960324	7.814263	90.843557	0.02653	28.137422	8.605635	5.49	5
260563.476215	7.909886	6.996852	7.892477	90.932276	0.027013	28.293145	8.685081	5.59	5
262953.575943	7.982469	7.034075	7.841563	90.861468	0.027303	28.456759	8.762406	5.65	5
